studentId,studentName,studentIdNumber,status,overallScore,progressPercent,answeredCount,totalQuestions,submittedAt,gradedAt,attemptNumber,aiCommitmentSigned,totalTimeSpentMs,avgTypingSpeed,totalAttempts,totalCharactersTyped,totalEditsCount,totalCopyPasteCount,totalShowAnswerClicks,avgTimeToFirstShowAnswer,totalExecutions,hintsUsedTotal,confidenceAvg,aiAssistanceUsedCount
"69dbb8309102aa42cf361dc5","","","in_progress","0","9","1","11","","","1","0","0","0","0","0","0","0","0","","0","0","","0"
"69dbb86a9102aa42cf361dc6","","","in_progress","0","0","0","11","","","1","0","11481","0","0","0","0","0","2","5741","0","0","","0"
"69dbe4e80076a8aa7e45367b","","","in_progress","0","91","10","11","","","1","0","7423097","27.3","1","1844","1645","0","18","575130","1","0","","0"
"69dd378cc1b57c9a092314bd","","","in_progress","0","0","0","11","","","1","0","90646","6","0","9","17","0","0","","0","0","","0"
"69dc88b3a53ae625650e9297","","","in_progress","0","36","4","11","","","1","0","5526917","13","4","416","184","0","16","390391","4","0","","0"
"69da3b65c56e74fce08be701","","","in_progress","0","9","1","11","","","1","0","1067287","1","0","14","19","0","2","948190","0","0","","0"
"69de434e8eea1b1ff1cd2905","","","in_progress","0","9","1","11","","","1","0","361195","28","3","168","165","0","0","","3","0","","0"
"69dc950b4d9fcabe3cc2355a","","","in_progress","0","0","0","11","","","1","0","45083","1","0","1","1","0","0","","0","0","","0"
"69de85868c7894b21c8f81c0","","","in_progress","0","100","11","11","","","1","0","152367862","20.5","18","2444","1700","0","18","482076","18","0","","0"
"69de955c5489ec4f1c2debfa","","","submitted","0","100","11","11","2026-04-15T08:28:17.074Z","","2","0","47354259","24.9","26","4010","2371","0","28","4397265","26","0","","0"
"69df0d5941eab6203825c856","","","submitted","0","100","11","11","2026-04-15T08:27:53.381Z","","2","0","11416597","37.8","31","3043","2539","0","52","917510","31","0","","0"
"69df45d648fd21e0d708cbd6","","","submitted","0","100","11","11","2026-04-15T12:32:54.461Z","","3","0","30055062","20.5","81","4634","2461","0","0","","81","0","","0"
"69dbc1306945e7f88bad7d10","","","in_progress","0","0","0","11","","","1","0","2137134","0","0","0","0","0","16","156960","0","0","","0"
